brain,checkpoint,mode,cue,mean_lifetime,mean_active_fraction,mean_concentration,P_peak_activity,P_cumulative_activity,P_mean_activity,P_peak_step,P_final_activity,trial_similarity,mean_total_activity,recall_to_P_cue_similarity,destination_experience_similarity,settled_experience_similarity,A_vs_F_pattern_similarity,convergence_gain_vs_disconnected,P_peak_gain_vs_disconnected,P_cumulative_gain_vs_disconnected,P_final_gain_vs_disconnected
1,300,disconnected,F,120.0,0.4766666666666667,0.01047152178042747,0.4383726627832366,18.865895487060016,0.15721579572550012,27.0,0.3305147514225879,1.0000000000000002,28.015297399788658,0.0,0.0,0.0,0.2757329767731901,0.0,0.0,0.0,0.0
1,300,disconnected,P,120.0,0.8066666666666666,0.005926947324423377,0.4985757065167259,29.098291561281304,0.2424857630106775,5.0,0.013123408736740925,0.9999999999999998,56.12484010272568,0.0,0.0,0.0,0.2757329767731901,0.0,0.0,0.0,0.0
1,300,shared,A,120.0,0.47250000000000003,0.010259278361230886,0.0190233527538247,0.21145218092946597,0.0017621015077455497,56.0,0.0,1.0,29.85290496861839,0.23234975171600117,0.4223358604089361,0.5122699163140482,0.4113286625457727,0.13559568577258263,-0.4650291621134899,-16.669679329030398,-0.04318689525020454
1,300,shared,F,120.0,0.38249999999999995,0.012945178123578255,0.0,0.0,0.0,1.0,0.0,0.9999999999999998,22.658844058186524,0.5512408563287029,0.1566712251764602,0.47256086675182757,0.4113286625457727,0.13559568577258263,-0.4383726627832366,-18.865895487060016,-0.3305147514225879
1,300,shared,P,120.0,0.4875,0.00998238675848176,0.6474554554512778,5.156479440750669,0.04297066200625557,3.0,0.0,1.0,34.3588716249036,1.0,0.3548089195688586,0.7010277603289294,0.4113286625457727,0.13559568577258263,0.14887974893455191,-23.941812120530635,-0.013123408736740925
1,400,untrained,A,120.0,0.4841666666666667,0.010359005604719787,0.41679144437282967,13.560983292503916,0.11300819410419931,93.0,0.0,1.0,30.26441068156754,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,400,untrained,F,120.0,0.48583333333333334,0.01025055493963963,0.40104352249740005,17.363795912246285,0.14469829926871905,120.0,0.40104352249740005,1.0,29.804790403366937,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,400,untrained,P,120.0,0.27749999999999997,0.017557565227228924,0.5306626417824976,12.639694028336965,0.10533078356947471,5.0,0.31738523665502616,0.9999999999999998,15.586024379617362,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,400,disconnected,A,120.0,0.42000000000000004,0.01177607489544998,0.5022473880687207,20.314538253897965,0.16928781878248303,16.0,0.3763245150509944,0.9999999999999998,24.804449129724226,0.0,0.0,0.0,0.79431187375921,0.0,0.0,0.0,0.0
1,400,disconnected,F,120.0,0.2616666666666666,0.019944078327223808,0.4522104285230453,18.964757801642993,0.15803964834702494,25.0,0.34656374076560215,1.0000000000000002,16.50352685193417,0.0,0.0,0.0,0.79431187375921,0.0,0.0,0.0,0.0
1,400,disconnected,P,120.0,0.6391666666666667,0.007725395914000968,0.4905892265622194,30.67959621280421,0.25566330177336843,5.0,0.12372785682863148,1.0000000000000002,42.11733894172637,0.0,0.0,0.0,0.79431187375921,0.0,0.0,0.0,0.0
1,400,shared,A,120.0,0.40750000000000003,0.012118394886534588,0.0,0.0,0.0,1.0,0.0,0.9999999999999998,26.392250507909168,0.4123086283735609,0.4321270376725717,0.5055345427826814,0.7183600619178294,-0.07595181184138056,-0.5022473880687207,-20.314538253897965,-0.3763245150509944
1,400,shared,F,120.0,0.3091666666666667,0.016060348436119056,0.0,0.0,0.0,1.0,0.0,1.0,18.187985961750847,0.4667977655075541,0.039074080869553066,0.38652385596237093,0.7183600619178294,-0.07595181184138056,-0.4522104285230453,-18.964757801642993,-0.34656374076560215
1,400,shared,P,120.0,0.48916666666666664,0.010241207103190032,0.6563237063889977,5.056622146130671,0.04213851788442226,3.0,0.0,1.0,32.38939219395072,1.0,0.33092300117677365,0.7371803307208836,0.7183600619178294,-0.07595181184138056,0.1657344798267783,-25.62297406667354,-0.12372785682863148
1,500,untrained,A,120.0,0.4841666666666667,0.010359005604719787,0.41679144437282967,13.560983292503916,0.11300819410419931,93.0,0.0,1.0,30.26441068156754,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,500,untrained,F,120.0,0.48583333333333334,0.01025055493963963,0.40104352249740005,17.363795912246285,0.14469829926871905,120.0,0.40104352249740005,1.0,29.804790403366937,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,500,untrained,P,120.0,0.27749999999999997,0.017557565227228924,0.5306626417824976,12.639694028336965,0.10533078356947471,5.0,0.31738523665502616,0.9999999999999998,15.586024379617362,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,500,disconnected,A,120.0,0.36666666666666664,0.013582760025113291,0.5094979840266521,14.12930014077458,0.11774416783978818,16.0,0.3402997101873814,1.0,20.35590294140302,0.0,0.0,0.0,0.7440670996712158,0.0,0.0,0.0,0.0
1,500,disconnected,F,120.0,0.20249999999999999,0.026883799134332937,0.46403581581219944,17.41959654964561,0.1451633045803801,24.0,0.2037615026115139,1.0000000000000002,12.251584366033654,0.0,0.0,0.0,0.7440670996712158,0.0,0.0,0.0,0.0
