source,target,before,after,delta
29,63,0.39531134818806213,0.39531135281259616,4.624534033492722e-09
30,9,0.42517889020051136,0.42517889049467933,2.941679677626041e-10
30,17,0.4393562851575953,0.43935628885592704,3.6983317519556635e-09
30,22,0.41966208890981066,0.41966208957618817,6.663775087289991e-10
30,25,0.4108811763288745,0.41088118129537393,4.966499433933791e-09
30,35,0.4236335198121752,0.423633520490266,6.780908057280044e-10
30,38,0.42441317409856955,0.4244131903826843,1.6284114778830627e-08
30,43,0.43795940108897885,0.43795941022415225,9.135173395513618e-09
30,51,0.406778166928757,0.4067782008528444,3.392408737257213e-08
30,64,0.4248026516127489,0.424802693354543,4.1741794132299503e-08
31,10,0.40258433204549793,0.4025843320609348,1.5436874001295564e-11
31,18,0.42691009047476225,0.4269100905818676,1.0710532460933564e-10
31,23,0.4027196525621954,0.4027196525734698,1.1274425837370927e-11
31,26,0.41722005067424667,0.4172200510849265,4.106798234815301e-10
31,36,0.42393969871659676,0.42393969872441056,7.813805158463083e-12
31,39,0.44174435091849135,0.44174435142692847,5.084371257346731e-10
31,44,0.40965301106369856,0.40965301115963526,9.593670302621149e-11
31,52,0.40609535884907183,0.40609535928269075,4.336189185494277e-10
31,65,0.4129863957509158,0.4129863960150536,2.641378227252744e-10
32,11,0.41061093967923107,0.4106109396792944,6.333822355486518e-14
32,19,0.41276286918713295,0.41276286918714505,1.2101430968414206e-14
32,24,0.40712218373991643,0.40712218374012793,2.1149748619109232e-13
32,27,0.4264675368769951,0.42646753687702654,3.141931159689193e-14
32,37,0.4026160247294297,0.4026160247301973,7.676081992258332e-13
32,40,0.44184725733149394,0.4418472573315169,2.298161660974074e-14
32,45,0.453130456658256,0.4531304566583407,8.465450562766819e-14
32,53,0.4078542223197493,0.4078542223197586,9.270362255620057e-15
32,66,0.4023945699851778,0.4023945699852248,4.701794509287538e-14
33,12,0.41280710366436396,0.41280710371629126,5.192729579661659e-11
33,20,0.40350632285485777,0.40350632294853944,9.36816735297441e-11
33,25,0.40960626394283295,0.4096062648985954,9.557624691680644e-10
33,28,0.4103752819764473,0.4103752819844706,8.02330424320985e-12
33,38,0.4267827619098046,0.42678276480416505,2.894360473515434e-09
33,41,0.41647476314375614,0.4164747631600754,1.631927926126764e-11
33,46,0.4346328987088274,0.43463290081320227,2.104374896561012e-09
