repetition,steps,local_edges,reflection_edges,reflection_change,intervals,corridor_mass
391,8,850,1972,0.025175015393373357,1,20.348522114288556
392,9,840,1972,0.06904248299484028,3,256.92336139878284
393,9,836,1972,0.07009150654109186,3,259.99012808625173
394,10,853,1972,0.06778294740321078,3,254.98657518292333
395,6,849,1972,0.05622436820470006,1,42.07613829744784
396,6,848,1972,0.05651100207542581,1,43.05114058132245
397,7,841,1972,0.03919191727893345,1,30.406775594297205
398,8,838,1972,0.025038337405264566,1,20.686479219493926
399,7,839,1972,0.03908645126829763,1,30.94156580555262
400,7,842,1972,0.03935966843905031,1,29.83543465236899
401,6,854,1972,0.056239072532860035,1,42.12396150614735
402,8,838,1972,0.025008369988148316,1,20.833632821495065
403,10,841,1972,0.06790084988274087,3,255.33165721961348
404,7,859,1972,0.03928610083473538,1,29.77167667933653
405,6,834,1972,0.057147420238180924,1,44.541140488252296
406,9,856,1972,0.0680638995481308,3,254.06609933772086
407,6,839,1972,0.0569294677186471,1,44.08601912338065
408,9,844,1972,0.06885927382323648,3,256.39666652580996
409,10,878,1972,0.06940601360280851,3,259.69746757312583
410,10,843,1972,0.06802243529158825,3,255.68819220315675
411,7,856,1972,0.03905057384576549,1,29.567976635118384
412,10,852,1972,0.06799454608935562,3,255.60829157826072
413,6,841,1972,0.054868830631917664,1,41.04455509225265
414,6,837,1972,0.055465305813911014,1,41.49849526399735
415,8,869,1972,0.025579123601541243,1,19.885441648233765
416,9,850,1972,0.06917662580552908,3,257.3305679231697
417,9,844,1972,0.06881873284191309,3,256.2843954034158
418,6,831,1972,0.05646042706103921,1,42.922894184739334
419,7,829,1972,0.03907804699198525,1,31.077602802140873
420,10,840,1972,0.06677998135647839,3,252.08965097619372
421,9,853,1972,0.068431592676363,3,255.15347766757378
422,10,832,1972,0.06918764896795165,3,259.07137718545397
423,8,849,1972,0.025056636147799183,1,20.658585354461767
424,7,861,1972,0.03908233503613523,1,31.011892677971712
425,9,850,1972,0.06865638165512206,3,255.81419365235158
426,9,830,1972,0.06832328613048183,3,254.83957069395245
427,8,843,1972,0.02506386695734658,1,20.639552131451897
