brain,repetition,cue,experience_strength_sum,experience_strength_mean
1,185,A,277.3603401608709,1.1556680840036289
1,185,F,320.75524909289675,1.3364802045537365
1,186,F,321.9666237307893,1.3415275988782889
1,186,A,276.88940161963336,1.1537058400818057
1,187,A,277.7633464319222,1.1573472767996758
1,187,F,321.40704484372765,1.3391960201821986
1,188,F,322.61154040382957,1.3442147516826233
1,188,A,277.2854701631501,1.155356125679792
1,189,A,278.15564114876224,1.1589818381198427
1,189,F,322.03994310347196,1.3418330962644665
1,190,F,323.24785121564787,1.346866046731866
1,190,A,277.6727643798635,1.1569698515827647
1,191,A,278.5392887589568,1.1605803698289867
1,191,F,322.66572242218297,1.344440510092429
1,192,F,323.8731184477289,1.3494713268655372
1,192,A,278.05055685452726,1.1585439868938636
1,193,A,278.9123722432993,1.1621348843470802
1,193,F,323.279665118598,1.346998604660825
1,194,F,324.48409761523027,1.352017073396793
1,194,A,278.41507655624355,1.160062818984348
1,195,A,279.2717868778571,1.1636324453244045
1,195,F,323.87960511618445,1.3494983546507686
1,196,F,325.0824631205623,1.354510263002343
1,196,A,278.77374317919123,1.1615572632466302
1,197,A,279.6251484785822,1.165104785327426
1,197,F,324.4711334835135,1.351963056181306
1,198,F,325.6724327243804,1.3569684696849185
1,198,A,279.124334369507,1.1630180598729458
1,199,A,279.97371252103795,1.1665571355043247
1,199,F,325.04852585244805,1.3543688577185335
1,200,F,326.244216944262,1.359350903934425
1,200,A,279.4688759534356,1.1644536498059816
1,201,A,280.316184733268,1.1679841030552833
1,201,F,325.6099730573961,1.3567082210724837
1,202,F,326.8012720540758,1.3616719668919826
1,202,A,279.80407690230174,1.1658503204262574
1,203,A,280.6459534045374,1.1693581391855725
1,203,F,326.16101091844143,1.3590042121601726
1,204,F,327.34835333019885,1.363951472209162
1,204,A,280.1291145764962,1.167204644068734
1,205,A,280.9682340830351,1.1707009753459796
1,205,F,326.70291044959384,1.3612621268733076
1,206,F,327.88704733688473,1.366196030570353
1,206,A,280.44601908600856,1.1685250795250357
1,207,A,281.28353758278456,1.172014739928269
1,207,F,327.23667209331984,1.363486133722166
1,208,F,328.4177959012477,1.3684074829218653
1,208,A,280.7549532290231,1.1698123051209295
1,209,A,281.58972228239105,1.1732905095099626
1,209,F,327.7614023670217,1.3656725098625904
1,210,F,328.94310512617164,1.3705962713590485
1,210,A,281.0581174729487,1.1710754894706197
1,211,A,281.89030349500814,1.1745429312292006
1,211,F,328.28276855412014,1.3678448689755005
1,212,F,329.4673670550715,1.372780696062798
1,212,A,281.3557536997777,1.1723156404157404
